Clase,Precision,Recall,F1-score
0,0.9402985074626866,0.8181818181818182,0.875
1,0.8026315789473685,0.6853932584269663,0.7393939393939394
2,0.515625,0.7333333333333333,0.6055045871559633
3,0.6666666666666666,0.704225352112676,0.684931506849315
4,0.532258064516129,0.7021276595744681,0.6055045871559633
5,0.42574257425742573,0.7678571428571429,0.5477707006369427
6,0.782608695652174,0.21686746987951808,0.33962264150943394
7,0.6336633663366337,0.7901234567901234,0.7032967032967034
8,0.935064935064935,0.7422680412371134,0.8275862068965517
Accuracy Global,0.6764705882352942,,
